2025/04/02 11:43:27 [error] 14008#15028: *1088 CreateFile() "C:/Users/tania/Local Sites/la-vie-des-plantes/app/public/wp-content/uploads/2025/04/Favicon.png" failed (5: Accès refusé), client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/04/Favicon.png HTTP/1.1", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/customize.php?return=%2Fwp-admin%2Fthemes.php%3Ftheme%3Dflower-shop-lite&autofocus%5Bcontrol%5D=header_image"
2025/04/02 11:43:42 [error] 14008#15028: *1089 CreateFile() "C:/Users/tania/Local Sites/la-vie-des-plantes/app/public/wp-content/uploads/2025/04/Favicon.png" failed (5: Accès refusé), client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/04/Favicon.png HTTP/1.1", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/customize.php?return=%2Fwp-admin%2Fthemes.php%3Ftheme%3Dflower-shop-lite&autofocus%5Bcontrol%5D=header_image"
2025/04/02 11:44:05 [error] 14008#15028: *1094 CreateFile() "C:/Users/tania/Local Sites/la-vie-des-plantes/app/public/wp-content/uploads/2025/04/La-vie-des-plantes-LOGO.png" failed (5: Accès refusé), client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/04/La-vie-des-plantes-LOGO.png HTTP/1.1", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/customize.php?return=%2Fwp-admin%2Fthemes.php%3Ftheme%3Dflower-shop-lite&autofocus%5Bcontrol%5D=header_image"
2025/04/02 11:44:41 [error] 14008#15028: *1101 CreateFile() "C:/Users/tania/Local Sites/la-vie-des-plantes/app/public/wp-content/uploads/2025/04/La-vie-des-plantes-LOGO.png" failed (5: Accès refusé), client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/04/La-vie-des-plantes-LOGO.png HTTP/1.1", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/customize.php?return=%2Fwp-admin%2Fthemes.php%3Ftheme%3Dflower-shop-lite&autofocus%5Bcontrol%5D=header_image"
2025/04/03 12:09:45 [error] 14008#15028: *2321 CreateFile() "C:/Users/tania/Local Sites/la-vie-des-plantes/app/public/wp-content/uploads/2025/04/Favicon.png" failed (5: Accès refusé), client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/04/Favicon.png HTTP/1.1", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/upload.php?item=6"
2025/04/03 12:09:51 [error] 14008#15028: *2324 CreateFile() "C:/Users/tania/Local Sites/la-vie-des-plantes/app/public/wp-content/uploads/2025/04/La-vie-des-plantes-LOGO.png" failed (5: Accès refusé), client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/04/La-vie-des-plantes-LOGO.png HTTP/1.1", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/upload.php?item=7"
2025/04/22 10:38:51 [error] 560#4200: *14241 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14251 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14239 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14239 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14251 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14241 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14249 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:51 [error] 560#4200: *14249 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14337 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/settings?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14338 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/categories?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14339 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14340 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&page=1&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14341 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/patterns?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14342 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14343 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14344 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:52 [error] 560#4200: *14345 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:38:56 [error] 560#4200: *14346 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies/post_tag?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:56 [error] 560#4200: *14347 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies/category?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:56 [error] 560#4200: *14348 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/categories/1?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:38:57 [error] 560#4200: *14349 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=page"
2025/04/22 10:38:58 [error] 560#4200: *14350 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:39:00 [error] 560#4200: *14351 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/pages/69?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:39:00 [error] 560#4200: *14352 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/woolentor/v1/save_css?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/22 10:39:07 [error] 560#4200: *14357 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=72&action=edit"
2025/04/22 10:39:08 [error] 560#4200: *14358 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/post.php?post=69&action=edit"
2025/04/23 13:18:29 [error] 3836#12976: *43494 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/products/count-low-in-stock?status=publish&page=1&per_page=1&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:29 [error] 3836#12976: *43500 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:29 [error] 3836#12976: *43507 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:30 [error] 3836#12976: *43498 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:30 [error] 3836#12976: *43498 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:30 [error] 3836#12976: *43500 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:30 [error] 3836#12976: *43502 WSARecv() failed (10054: Une connexion existante a dû être fermée par l’hôte distant) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
2025/04/23 13:18:30 [error] 3836#12976: *43502 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "la-vie-des-plantes.local", referrer: "http://la-vie-des-plantes.local/wp-admin/edit.php?post_type=product"
